,Rank,Country,2019,2020,2021,2022,2023,2024,2025,2026
48,49,Portugal,240.013,228.356,251.709,271.191,286.904,301.225,315.408,328.443
49,50,New Zealand,210.443,209.384,247.64,267.636,282.4,294.509,306.857,319.992
50,51,Peru,230.865,205.458,225.858,231.691,246.721,258.714,270.706,283.487
51,52,Iraq,233.953,169.488,201.472,226.62,239.993,251.504,264.07,277.85
52,53,Greece,205.349,189.259,211.645,224.894,236.236,246.642,257.165,267.015
53,54,Ukraine,153.997,155.3,181.038,203.925,222.822,243.082,266.319,290.806
54,55,Kazakhstan,181.667,171.24,194.024,203.666,218.016,231.869,243.92,258.252
55,56,Hungary,163.494,155.013,180.959,198.992,216.443,232.858,247.998,263.069
56,57,Qatar,175.838,145.45,169.184,180.883,186.491,194.993,203.724,213.828
57,58,Algeria,171.07,147.6,163.812,168.195,172.094,173.719,174.376,175.228
58,59,Kuwait,136.192,105.949,132.266,138.78,140.964,144.301,148.84,155.117
59,60,Morocco,119.871,114.602,126.035,132.645,140.722,149.177,158.231,166.651
60,61,Slovakia,105.131,104.491,116.748,127.497,137.632,147.03,156.299,164.9
61,62,Kenya,100.458,102.427,109.491,116.641,124.675,133.593,143.459,153.99
62,63,Ecuador,108.108,98.808,104.483,109.975,114.076,118.502,123.202,128.089
63,64,Puerto Rico,104.915,103.138,106.576,108.267,109.507,110.463,111.59,112.884
64,65,Dominican Republic,89.032,78.923,89.502,97.371,104.389,111.854,119.881,128.418
65,66,Luxembourg,71.113,73.205,83.771,89.683,95.406,101.082,106.664,112.253
66,67,Guatemala,77.004,77.603,83.305,89.214,94.084,100.587,107.67,115.366
67,68,Oman,76.332,63.368,80.611,85.719,86.822,88.91,91.709,95.508
68,69,Bulgaria,68.563,69.209,77.907,84.308,91.121,97.967,104.696,111.223
69,70,Sri Lanka,83.978,80.7,80.785,83.315,88.909,94.971,101.438,108.343
70,71,Ghana,68.353,68.498,75.487,82.018,87.736,94.045,101.028,108.37
71,72,Côte d'Ivoire,58.539,61.231,68.845,75.075,82.116,89.594,97.627,105.963
72,73,Angola,84.516,58.376,70.339,74.953,79.304,84.614,90.888,96.437
73,74,Tanzania,60.81,64.403,69.238,74.536,80.081,86.199,92.945,100.211
74,75,Uzbekistan,59.907,59.928,65.503,72.762,80.97,90.384,100.607,111.963
75,76,Belarus,64.414,60.201,65.754,70.632,73.236,76.771,79.944,82.863
76,77,Croatia,60.752,56.171,63.399,68.525,73.979,78.892,83.531,88.26
77,78,Lithuania,54.646,55.843,62.635,67.659,72.602,77.374,82.006,86.35
78,79,Serbia,51.475,52.96,60.669,65.697,71.326,76.883,83.069,89.456
79,80,Slovenia,54.185,53.547,60.89,65.475,70.134,74.707,79.393,84.129
80,81,Costa Rica,64.067,61.833,61.46,64.374,68.167,72.222,76.386,81.076
81,82,Panama,66.788,52.938,60.121,64.366,68.936,73.83,79.072,84.686
82,83,Uruguay,61.931,56.577,60.108,63.741,65.862,68.59,71.617,74.554
83,84,Myanmar,68.802,81.257,66.74,63.052,66.593,70.312,74.158,78.257
84,85,Turkmenistan,46.264,45.609,53.087,60.263,66.63,73.864,82.072,91.377
85,86,Democratic Republic of the Congo,50.399,48.707,54.832,59.246,64.296,69.741,75.626,81.356
86,87,Azerbaijan,48.174,42.607,52.645,54.725,55.975,57.604,59.556,61.797
87,88,Cameroon,39.009,39.938,44.806,48.29,52.073,56.288,61.106,66.217
88,89,Jordan,44.566,43.759,45.344,47.5,50.196,53.149,56.276,59.586
89,90,Uganda,38.001,38.141,43.243,47,49.439,54.329,61.29,69.044
90,91,Tunisia,39.169,39.219,42.733,45.454,47.915,50.505,52.927,55.093
91,92,Venezuela,63.96,47.255,44.893,43.546,45.689,46.587,47.658,48.524
92,93,Macao SAR,55.154,24.333,29.223,41.847,54.25,64.204,68.655,72.863
93,94,Bahrain,38.467,34.729,39.104,41.057,42.867,44.905,47.11,49.44
94,95,Bolivia,41.193,36.839,38.547,40.895,43.867,47.039,50.391,53.928
95,96,Latvia,34.059,33.478,37.199,40.83,43.87,46.789,49.829,52.796
96,97,Estonia,31.049,30.626,36.039,39.542,42.602,45.784,48.968,52.231
97,98,Paraguay,37.907,35.67,36.973,39.197,41.306,44.013,46.693,49.496
98,99,Sudan,33.564,34.396,35.919,37.769,40.285,43.716,47.597,51.665
99,100,Nepal,34.186,33.983,34.265,36.296,39.381,42.556,45.828,49.299
100,101,Senegal,23.307,24.681,27.576,30.039,34.343,37.559,40.763,43.953
101,102,El Salvador,26.897,24.639,27.665,29.316,30.458,31.544,32.542,33.487
102,103,Libya,39.497,19.21,27.3,29.202,29.993,29.869,31.039,32.378
103,104,Papua New Guinea,24.829,23.279,26.461,28.31,30.008,31.665,33.498,35.381
104,105,Cyprus,24.953,23.785,26.546,28.291,30.421,32.361,34.436,36.674
105,106,Cambodia,27.088,25.192,26.08,27.985,30.254,32.741,35.453,38.423
106,107,Honduras,25.09,23.828,26.325,27.923,29.559,31.287,33.164,35.226
107,108,Zimbabwe,19.587,21.924,25.791,27.806,27.995,28.483,29.713,31.568
108,109,Iceland,24.858,21.718,25.476,27.172,28.17,29.529,31.047,32.596
109,110,Zambia,23.309,19.319,21.699,23.967,24.499,25.245,26.543,28.024
110,111,Trinidad and Tobago,23.208,21.587,21.599,23.082,23.885,24.594,25.322,26.075
111,112,Bosnia and Herzegovina,20.203,19.789,21.692,23.006,24.521,26.091,27.779,29.508
112,113,Burkina Faso,15.991,17.378,19.932,21.887,23.93,26.099,28.409,30.839
113,114,Mali,17.281,17.491,19.563,21.261,23.109,25.053,26.855,29.05
114,115,Laos,18.771,18.82,19.375,20.631,21.818,23.317,24.994,26.74
115,116,Yemen,21.888,18.841,19.471,20.02,21.371,22.711,24.257,25.617
116,117,Benin,14.392,15.674,18.067,19.917,21.84,23.965,26.273,28.705
117,118,Georgia,17.477,15.891,17.846,19.688,21.58,23.589,25.789,27.941
118,119,Gabon,16.875,15.339,18.293,19.632,20.292,21.097,22.163,23.537
119,120,Botswana,16.592,15.064,17.605,19.002,20.614,22.22,23.793,26.094
120,121,Haiti,14.787,14.508,20.143,18.825,19.796,20.449,21.302,22.213
121,122,West Bank and Gaza,17.134,15.561,17.343,18.784,19.952,20.812,21.606,22.399
122,123,Guinea,13.514,15.388,16.724,18.223,19.546,21.008,22.532,24.221
123,124,Malta,15.728,14.899,16.695,18.209,19.699,21.222,22.7,24.114
124,125,Albania,15.283,14.828,16.77,18.012,18.931,20.026,21.15,22.308
125,126,Niger,12.912,13.761,15.637,17.261,19.717,22.679,25.372,27.63
126,127,Mozambique,15.39,14.029,15.833,16.759,19.356,20.498,21.691,25.234
127,128,Brunei Darussalam,13.47,12.003,15.686,16.263,15.724,15.722,15.816,15.987
128,129,Mongolia,13.997,13.137,14.28,15.83,17.357,18.862,20.354,21.833
129,130,Jamaica,15.808,13.967,14.857,15.63,16.291,16.989,17.706,18.413
130,131,Madagascar,14.105,13.179,14.101,15.402,16.781,18.187,19.676,21.264
131,132,Armenia,13.619,12.641,13.612,15.06,16.157,17.369,18.684,20.084
132,133,North Macedonia,12.55,12.288,13.885,14.904,15.913,17.07,18.321,19.607
133,134,Nicaragua,12.625,12.62,13.397,13.948,14.324,14.739,15.264,15.94
134,135,Moldova,11.972,11.912,12.396,13.315,14.299,15.415,16.575,17.778
135,136,Republic of the Congo,12.791,10.329,12.744,13.303,13.85,15,15.563,16.03
136,137,Namibia,12.563,10.71,12.213,13.122,13.856,14.575,15.322,16.708
137,138,Chad,10.934,10.836,12.345,12.953,13.722,14.794,15.967,17.117
138,139,Equatorial Guinea,11.417,10.036,12.528,12.074,12.179,12.478,12.639,12.943
139,140,Bahamas,13.164,9.908,10.681,12.039,12.884,13.688,14.282,14.843
140,141,Malawi,11.031,11.847,12.15,12.008,11.833,11.892,12.157,12.585
141,142,Mauritius,14.046,10.921,10.998,11.954,13.056,14.287,15.543,16.829
142,143,Rwanda,10.356,10.332,10.395,11.035,11.935,12.873,14.004,15.145
143,144,Guyana,5.174,5.471,7.395,9.837,12.032,12.557,13.231,14.028
144,145,Kosovo,7.953,7.78,8.958,9.752,10.531,11.309,12.088,12.862
145,146,Togo,7.221,7.586,8.493,9.357,10.267,11.241,12.286,13.383
146,147,Mauritania,7.889,8.11,9.164,9.336,9.801,10.212,10.541,11.058
147,148,Kyrgyzstan,8.872,7.747,8.15,8.928,9.614,10.196,10.823,11.443
148,149,Tajikistan,8.117,7.997,8.104,8.756,9.304,9.87,10.498,11.063
149,150,Montenegro,5.543,4.786,5.494,6.042,6.55,7.056,7.571,8.099
150,151,Somalia,5.061,4.99,5.424,5.888,6.611,7.385,8.061,8.764
151,152,Maldives,5.632,3.738,4.573,5.296,6.049,6.533,7.027,7.553
152,153,Barbados,5.298,4.418,4.648,5.142,5.496,5.769,6.011,6.262
153,154,Fiji,5.496,4.494,4.639,5.01,5.537,6.023,6.432,6.794
154,155,Eswatini,4.471,3.981,4.517,4.794,4.985,5.216,5.463,5.965
155,156,Sierra Leone,4.119,4.202,4.407,4.587,4.629,4.753,4.959,5.226
156,157,South Sudan,4.589,4.44,3.263,4.575,5.85,6,6.002,7.207
157,158,Djibouti,3.346,3.44,3.654,3.932,4.251,4.596,4.969,5.373
158,159,Liberia,3.08,3.037,3.384,3.664,3.794,4.086,4.403,4.743
159,160,Curacao,3.102,3.235,3.578,3.527,3.658,3.784,3.895,3.958
160,161,Andorra,3.155,2.858,3.213,3.46,3.659,3.851,4.017,4.179
161,162,Burundi,3.012,3.04,3.193,3.396,3.637,3.9,4.192,4.498
162,163,Aruba,3.31,2.497,2.865,3.127,3.369,3.5,3.602,3.701
163,164,Suriname,3.984,2.884,2.817,2.937,3.114,3.271,3.431,3.6
164,165,Central African Republic,2.277,2.387,2.587,2.797,3.016,3.25,3.498,3.76
165,166,Bhutan,2.488,2.503,2.48,2.74,3,3.33,3.619,3.922
166,167,Lesotho,2.228,1.999,2.478,2.592,2.718,2.845,2.943,3.091
167,168,Eritrea,1.982,2.084,2.254,2.484,2.651,2.812,2.981,3.161
168,169,The Gambia,1.806,1.862,2.042,2.173,2.363,2.566,2.792,3.022
169,170,Cabo Verde,1.982,1.707,1.886,2.063,2.261,2.474,2.709,2.934
170,171,Belize,1.983,1.706,1.909,2.062,2.162,2.25,2.34,2.435
171,172,St. Lucia,2.119,1.617,1.715,1.998,2.218,2.352,2.441,2.527
172,173,San Marino,1.616,1.554,1.728,1.831,1.905,1.975,2.052,2.127
173,174,Solomon Islands,1.579,1.562,1.649,1.798,1.972,2.121,2.256,2.396
174,175,Timor-Leste,2.018,1.777,1.697,1.782,1.875,1.967,2.103,2.253
175,176,Seychelles,1.58,1.138,1.288,1.751,1.942,2.124,2.326,2.557
176,177,Guinea-Bissau,1.44,1.434,1.592,1.721,1.884,2.059,2.247,2.444
177,178,Antigua and Barbuda,1.687,1.37,1.405,1.534,1.652,1.759,1.855,1.943
178,179,Comoros,1.188,1.216,1.281,1.363,1.453,1.551,1.664,1.786
179,180,Grenada,1.188,1.027,1.083,1.16,1.245,1.331,1.402,1.472
180,181,St. Kitts and Nevis,1.165,0.981,0.976,1.092,1.157,1.21,1.262,1.322
181,182,Vanuatu,0.928,0.932,0.999,1.06,1.127,1.194,1.253,1.315
182,183,St. Vincent and the Grenadines,0.825,0.807,0.769,0.855,0.929,0.99,1.043,1.093
183,184,Samoa,0.846,0.812,0.78,0.808,0.86,0.912,0.967,1.018
184,185,Dominica,0.616,0.544,0.571,0.628,0.678,0.725,0.771,0.806
185,186,São Tomé and Príncipe,0.431,0.477,0.534,0.573,0.616,0.662,0.711,0.772
186,187,Tonga,0.517,0.499,0.501,0.54,0.569,0.602,0.631,0.663
187,188,Micronesia,0.413,0.407,0.404,0.417,0.442,0.462,0.478,0.492
188,189,Marshall Islands,0.236,0.244,0.241,0.254,0.265,0.276,0.287,0.297
189,190,Kiribati,0.198,0.198,0.232,0.245,0.258,0.27,0.279,0.288
190,191,Palau,0.275,0.257,0.208,0.242,0.282,0.298,0.312,0.325
191,192,Nauru,0.119,0.114,0.133,0.139,0.145,0.149,0.152,0.153
192,193,Tuvalu,0.054,0.055,0.065,0.07,0.076,0.082,0.088,0.094
